NOC,region,notes
AFG,Afghanistan,
AHO,Curacao,Netherlands Antilles
ALB,Albania,
ALG,Algeria,
AND,Andorra,
ANG,Angola,
ANT,Antigua,Antigua and Barbuda
ANZ,Australia,Australasia
ARG,Argentina,
ARM,Armenia,
ARU,Aruba,
ASA,American Samoa,
AUS,Austria,
AUT,Azerbaijan,
AZE,Bahamas,
BAH,Bangladesh,
BAN,Barbados,
BAR,Burundi,
BDI,Belgium,
BEL,Benin,
BEN,Bermuda,
BER,Bhutan,
BHU,Bosnia and Herzegovina,
BIH,Belize,
BIZ,Belarus,
BLR,Czech Republic,
BOH,Boliva,Bohemia
BOL,Botswana,
BOT,Brazil,
BRA,Bahrain,
BRN,Brunei,
BRU,Bulgaria,
BUL,Burkina Faso,
BUR,Central African Republic,
CAF,Cambodia,
CAM,Canada,
CAN,Cayman Islands,
CAY,Republic of Congo,
CGO,Chad,
CHA,Chile,
CHI,China,
CHN,Ivory Coast,
CIV,Cameroon,
CMR,Democratic Republic of the Congo,
COD,Cook Islands,
COK,Colombia,
COL,Comoros,
COM,Cape Verde,
CPV,Costa Rica,
CRC,Croatia,
CRO,Greece,
CRT,Cuba,Crete
CUB,Cyprus,
CYP,Denmark,
CZE,Djibouti,
DEN,Dominica,
DJI,Dominican Republic,
DMA,Ecuador,
DOM,Egypt,
ECU,Eritrea,
EGY,El Salvador,
ERI,Spain,
ESA,Estonia,
ESP,Ethiopia,
EST,Russia,
ETH,Fiji,
EUN,Finland,
FIJ,France,
FIN,Germany,
FRA,Micronesia,
FRG,Gabon,
FSM,Gambia,
GAB,UK,
GAM,Guinea-Bissau,
GBR,Georgia,
GBS,Equatorial Guinea,
GDR,Ghana,
GEO,Grenada,
GEQ,Guatemala,
GER,Guinea,
GHA,Guam,
GRE,Guyana,
GRN,Haiti,
GUA,Honduras,
GUI,Hungary,
GUM,Indonesia,
GUY,India,
HAI,Individual Olympic Athletes,
HKG,Iran,Hong Kong
HON,Ireland,
HUN,Iraq,
INA,Iceland,
IND,Israel,
IOA,"Virgin Islands, US",Individual Olympic Athletes
IRI,Italy,
IRL,"Virgin Islands, British",
IRQ,Jamaica,
ISL,Jordan,
ISR,Japan,
ISV,Kazakhstan,Virgin Islands
ITA,Kenya,
IVB,Kyrgyzstan,
JAM,Kiribati,
JOR,South Korea,
JPN,Kosovo,
KAZ,Saudi Arabia,
KEN,Kuwait,
KGZ,Laos,
KIR,Latvia,
KOR,Libya,
KOS,Liberia,
KSA,Saint Lucia,
KUW,Lesotho,
LAO,Lebanon,
LAT,Liechtenstein,
LBA,Lithuania,
LBR,Luxembourg,
LCA,Madagascar,
LES,Malaysia,
LIB,Morocco,
LIE,Malawi,
LTU,Moldova,
LUX,Maldives,
MAD,Mexico,
MAL,Mongolia,
MAR,Marshall Islands,
MAS,Macedonia,
MAW,Mali,
MDA,Malta,
MDV,Montenegro,
MEX,Monaco,
MGL,Mozambique,
MHL,Mauritius,
MKD,Mauritania,
MLI,Myanmar,
MLT,Namibia,
MNE,Nicaragua,
MON,Netherlands,
MOZ,Nepal,
MRI,Nigeria,
MTN,Niger,
MYA,Norway,
NAM,Nauru,
NBO,New Zealand,North Borneo
NCA,Oman,
NED,Pakistan,
NEP,Panama,
NFL,Paraguay,Newfoundland
NGR,Peru,
NIG,Philippines,
NOR,Palestine,
NRU,Palau,
NZL,Papua New Guinea,
OMA,Poland,
PAK,Portugal,
PAN,North Korea,
PAR,Puerto Rico,
PER,Qatar,
PHI,Zimbabwe,
PLE,NA,
PLW,Romania,
PNG,South Africa,
POL,Rwanda,
POR,Samoa,
PRK,Serbia,
PUR,Senegal,
QAT,Seychelles,
RHO,Singapore,
ROT,Saint Kitts,Refugee Olympic Team
ROU,Sierra Leone,
RSA,Slovenia,
RUS,San Marino,
RWA,Solomon Islands,
SAA,Somalia,
SAM,Sri Lanka,
SCG,South Sudan,Serbia and Montenegro
SEN,Sao Tome and Principe,
SEY,Sudan,
SIN,Switzerland,
SKN,Suriname,Turks and Caicos Islands
SLE,Slovakia,
SLO,Sweden,
SMR,Swaziland,
SOL,Syria,
SOM,Tanzania,
SRB,Tonga,
SRI,Thailand,
SSD,Tajikistan,
STP,Turkmenistan,
SUD,Timor-Leste,
SUI,Togo,
SUR,Taiwan,
SVK,Trinidad,
SWE,Tunisia,
SWZ,Turkey,
SYR,United Arab Emirates,
TAN,Uganda,
TCH,Ukraine,
TGA,Uruguay,
THA,USA,
TJK,Uzbekistan,
TKM,Vanuatu,
TLS,Venezuela,
TOG,Vietnam,
TPE,Saint Vincent,
TTO,Yemen,Trinidad and Tobago
TUN,Zambia,
